League,Date,Team,Opponent,Location,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Conference
MBB,2024-01-19,Carnegie Mellon,Rochester,Away,70,200,26-68,38.23529411764706,6-25,24.0,12-14,85.71428571428571,16,31,47,13,7,4,12,15,17,18,38,8,19,True
MBB,2024-01-19,Case Western,Emory,Away,90,200,30-69,43.47826086956522,13-30,43.333333333333336,17-25,68.0,18,27,45,14,5,4,14,18,15,15,28,11,41,True
MBB,2024-01-19,Chicago,Brandeis,Away,72,203,26-46,56.52173913043478,5-14,35.714285714285715,15-19,78.94736842105263,5,30,35,20,5,4,12,15,10,8,36,0,20,True
MBB,2024-01-19,Emory,Case Western,Home,86,200,29-72,40.27777777777778,6-23,26.08695652173913,22-31,70.96774193548387,19,25,44,16,9,8,9,17,14,17,44,15,2,True
MBB,2024-01-19,NYU,WashU,Home,65,200,27-59,45.76271186440678,9-25,36.0,2-7,28.571428571428573,9,27,36,14,6,6,11,13,12,10,30,6,11,True
MBB,2024-01-19,Rochester,Carnegie Mellon,Home,66,200,25-67,37.3134328358209,7-25,28.0,9-16,56.25,15,28,43,7,5,5,12,11,12,7,32,13,16,True
MBB,2024-01-19,WashU,NYU,Away,64,200,24-64,37.5,9-26,34.61538461538461,7-9,77.77777777777777,15,26,41,13,9,5,13,12,16,17,28,11,8,True
MBB,2024-01-21,Brandeis,WashU,Home,59,201,23-64,35.9375,6-22,27.27272727272728,7-12,58.333333333333336,14,27,41,12,8,5,12,14,17,15,24,0,23,True
MBB,2024-01-21,Carnegie Mellon,Emory,Away,84,200,33-71,46.478873239436616,7-22,31.818181818181817,11-18,61.11111111111112,10,33,43,19,3,2,10,22,7,9,50,4,21,True
MBB,2024-01-21,Case Western,Rochester,Away,75,200,24-54,44.44444444444444,7-24,29.166666666666668,20-24,83.33333333333333,10,25,35,12,9,6,14,14,12,12,34,2,37,True
MBB,2024-01-21,Chicago,NYU,Away,77,225,30-68,44.11764705882353,9-34,26.47058823529412,8-11,72.72727272727273,7,26,33,21,4,6,9,18,7,5,32,6,11,True
MBB,2024-01-21,Emory,Carnegie Mellon,Home,90,200,28-65,43.07692307692308,9-32,28.125,25-31,80.64516129032258,7,32,39,18,7,4,6,15,16,12,34,24,18,True
MBB,2024-01-21,NYU,Chicago,Home,83,225,28-62,45.16129032258065,5-20,25.0,22-26,84.61538461538461,9,30,39,12,7,0,9,13,10,8,36,8,7,True
MBB,2024-01-21,Rochester,Case Western,Home,73,200,27-59,45.76271186440678,8-20,40.0,11-16,68.75,9,22,31,16,7,4,12,17,17,10,36,10,11,True
MBB,2024-01-21,WashU,Brandeis,Away,54,199,22-57,38.59649122807018,5-25,20.0,5-8,62.5,8,28,36,12,5,0,16,14,9,7,24,0,4,True
MBB,2024-01-26,Brandeis,Emory,Home,65,200,23-68,33.8235294117647,7-29,24.13793103448276,12-17,70.58823529411765,12,29,41,15,9,3,11,12,8,6,18,0,27,True
MBB,2024-01-26,Carnegie Mellon,WashU,Away,87,200,33-69,47.82608695652174,8-25,32.0,13-17,76.47058823529412,7,23,30,10,3,0,4,14,11,3,40,7,23,True
MBB,2024-01-26,Case Western,Chicago,Away,75,200,29-72,40.27777777777778,12-32,37.5,5-10,50.0,15,24,39,13,6,4,8,10,13,19,30,9,24,True
MBB,2024-01-26,Chicago,Case Western,Home,85,200,32-60,53.333333333333336,11-25,44.0,10-12,83.33333333333333,5,31,36,19,4,3,10,12,12,5,24,14,18,True
MBB,2024-01-26,Emory,Brandeis,Away,78,200,30-68,44.11764705882353,8-30,26.666666666666668,10-14,71.42857142857143,10,34,44,15,4,5,12,15,12,10,30,0,11,True
MBB,2024-01-26,NYU,Rochester,Home,80,200,25-56,44.642857142857146,6-19,31.57894736842105,24-27,88.88888888888889,7,32,39,14,8,2,13,11,16,4,34,9,10,True
MBB,2024-01-26,Rochester,NYU,Away,73,200,26-59,44.067796610169495,12-30,40.0,9-15,60.0,4,25,29,15,6,3,13,21,14,1,26,14,20,True
MBB,2024-01-26,WashU,Carnegie Mellon,Home,95,200,38-71,53.52112676056338,11-24,45.833333333333336,8-11,72.72727272727273,7,30,37,15,2,0,7,11,2,13,50,8,29,True
MBB,2024-01-28,Brandeis,Rochester,Home,52,199,17-57,29.82456140350877,7-23,30.43478260869565,11-16,68.75,8,24,32,6,11,6,13,10,20,9,18,0,33,True
MBB,2024-01-28,Carnegie Mellon,Chicago,Away,75,200,28-67,41.791044776119406,8-22,36.36363636363637,11-14,78.57142857142857,11,25,36,11,4,1,11,14,8,16,34,6,26,True
MBB,2024-01-28,Case Western,WashU,Away,86,225,34-74,45.94594594594594,11-32,34.375,7-10,70.0,12,15,27,12,5,1,9,19,16,21,36,0,22,True
MBB,2024-01-28,Chicago,Carnegie Mellon,Home,84,200,33-68,48.52941176470589,10-29,34.48275862068966,8-12,66.66666666666667,11,29,40,21,7,6,10,15,17,7,34,21,18,True
MBB,2024-01-28,Emory,NYU,Away,77,200,28-76,36.8421052631579,13-39,33.333333333333336,8-9,88.88888888888889,14,25,39,19,8,4,9,15,8,17,28,5,19,True
MBB,2024-01-28,NYU,Emory,Home,86,200,31-62,50.0,11-26,42.30769230769231,13-17,76.47058823529412,9,34,43,21,8,3,12,10,7,6,38,10,5,True
MBB,2024-01-28,Rochester,Brandeis,Away,61,200,24-51,47.05882352941177,8-15,53.333333333333336,5-8,62.5,5,31,36,15,8,4,19,11,14,6,30,0,6,True
MBB,2024-01-28,WashU,Case Western,Home,87,225,31-64,48.4375,8-26,30.76923076923077,17-28,60.71428571428572,11,25,36,13,4,7,11,12,13,12,46,9,21,True
MBB,2024-02-02,Brandeis,Emory,Away,71,200,21-64,32.8125,11-28,39.285714285714285,18-23,78.26086956521739,9,31,40,12,9,4,10,20,24,12,18,18,36,True
MBB,2024-02-02,Carnegie Mellon,WashU,Home,79,200,30-58,51.72413793103448,9-19,47.36842105263158,10-20,50.0,9,29,38,16,6,4,14,17,10,4,36,7,19,True
MBB,2024-02-02,Case Western,Chicago,Home,81,200,28-54,51.851851851851855,8-18,44.44444444444444,17-19,89.47368421052632,8,27,35,12,4,7,11,13,11,9,40,11,16,True
MBB,2024-02-02,Chicago,Case Western,Away,70,200,26-71,36.61971830985915,5-21,23.80952380952381,13-16,81.25,20,18,38,12,4,4,6,13,15,21,36,6,8,True
MBB,2024-02-02,Emory,Brandeis,Home,69,200,24-70,34.285714285714285,5-28,17.857142857142858,16-20,80.0,19,37,56,11,9,7,17,20,12,20,36,22,10,True
MBB,2024-02-02,NYU,Rochester,Away,81,200,30-60,50.0,6-23,26.08695652173913,15-18,83.33333333333333,5,31,36,10,5,0,8,17,11,6,44,11,8,True
MBB,2024-02-02,Rochester,NYU,Home,76,200,25-65,38.46153846153846,9-30,30.0,17-23,73.91304347826087,11,26,37,16,2,1,7,14,5,13,24,6,26,True
MBB,2024-02-02,WashU,Carnegie Mellon,Away,73,200,27-70,38.57142857142857,9-30,30.0,10-16,62.5,16,24,40,14,5,0,10,16,21,8,36,6,15,True
MBB,2024-02-04,Brandeis,Rochester,Away,75,200,27-60,45.0,7-23,30.43478260869565,14-21,66.66666666666667,9,19,28,7,12,1,8,20,34,13,32,12,28,True
MBB,2024-02-04,Carnegie Mellon,Chicago,Home,69,200,28-68,41.1764705882353,5-19,26.31578947368421,8-12,66.66666666666667,12,20,32,13,2,5,6,14,12,10,40,0,29,True
MBB,2024-02-04,Case Western,WashU,Home,74,200,24-67,35.82089552238806,9-32,28.125,17-22,77.27272727272727,11,31,42,14,10,6,6,14,27,18,22,7,23,True
MBB,2024-02-04,Chicago,Carnegie Mellon,Away,99,200,38-69,55.072463768115945,12-26,46.15384615384615,11-13,84.61538461538461,13,29,42,16,4,5,6,10,15,21,42,2,27,True
MBB,2024-02-04,Emory,NYU,Home,78,200,29-61,47.540983606557376,10-28,35.714285714285715,10-16,62.5,12,24,36,16,8,3,11,18,16,11,26,3,17,True
MBB,2024-02-04,NYU,Emory,Away,81,200,22-57,38.59649122807018,11-33,33.333333333333336,26-32,81.25,12,23,35,14,8,1,10,15,15,16,16,6,6,True
MBB,2024-02-04,Rochester,Brandeis,Home,72,200,25-48,52.083333333333336,5-18,27.77777777777778,17-24,70.83333333333333,8,26,34,13,2,1,19,18,9,14,38,10,25,True
MBB,2024-02-04,WashU,Case Western,Away,59,200,20-64,31.25,9-30,30.0,10-11,90.9090909090909,13,34,47,14,5,4,17,19,14,2,22,19,14,True
MBB,2024-02-09,Brandeis,Carnegie Mellon,Home,77,201,27-57,47.36842105263158,9-25,36.0,14-18,77.77777777777777,9,16,25,19,9,4,10,18,14,11,30,3,20,True
MBB,2024-02-09,Carnegie Mellon,Brandeis,Away,80,201,30-57,52.63157894736842,7-19,36.8421052631579,13-16,81.25,10,21,31,11,9,2,13,15,17,11,42,0,17,True
MBB,2024-02-09,Case Western,NYU,Away,80,200,27-69,39.130434782608695,13-37,35.13513513513514,13-15,86.66666666666667,9,26,35,17,7,3,9,20,8,12,26,7,34,True
MBB,2024-02-09,Chicago,Rochester,Away,74,200,32-66,48.48484848484848,6-19,31.57894736842105,4-5,80.0,9,25,34,10,3,1,11,15,11,14,42,5,13,True
MBB,2024-02-09,Emory,WashU,Home,89,200,28-55,50.90909090909091,10-20,50.0,23-27,85.18518518518519,3,24,27,13,9,9,8,12,16,6,32,16,8,True
MBB,2024-02-09,NYU,Case Western,Home,93,200,30-60,50.0,14-24,58.333333333333336,19-23,82.6086956521739,5,31,36,16,7,1,10,14,15,8,30,11,34,True
MBB,2024-02-09,Rochester,Chicago,Home,76,200,29-57,50.87719298245614,8-21,38.095238095238095,10-13,76.92307692307692,6,26,32,21,7,3,12,12,8,12,34,6,48,True
MBB,2024-02-09,WashU,Emory,Away,76,200,30-61,49.18032786885246,7-21,33.333333333333336,9-10,90.0,8,25,33,15,4,3,15,16,11,6,36,0,19,True
MBB,2024-02-11,Brandeis,Case Western,Home,70,200,24-57,42.10526315789474,8-22,36.36363636363637,14-15,93.33333333333331,4,28,32,14,3,3,5,18,4,5,18,0,14,True
MBB,2024-02-11,Carnegie Mellon,NYU,Away,83,200,30-59,50.84745762711864,11-23,47.82608695652174,12-17,70.58823529411765,8,26,34,16,9,7,13,15,13,11,34,9,17,True
MBB,2024-02-11,Case Western,Brandeis,Away,78,200,27-58,46.55172413793103,13-30,43.333333333333336,11-21,52.38095238095238,10,29,39,20,5,2,5,15,3,12,26,0,30,True
